Epochs,Train Batch Size,Test Batch Size,Learning Rate,Momentum,Hidden Layer,Token Position,Accuracy,Macro F1,Micro F1
16,16,16,0.01,0,0,0,0.5074309978768577,0.506449864498645,0.5074309978768577
16,16,16,0.01,0,0,1,0.474,0.47110376421282946,0.474
16,16,16,0.01,0,0,2,0.4749536178107607,0.4733220312063007,0.4749536178107607
16,16,16,0.01,0,0,3,0.47674418604651164,0.436435124508519,0.47674418604651164
16,16,16,0.01,0,0,4,0.5258358662613982,0.4796678731104961,0.5258358662613982
16,16,16,0.01,0,0,5,0.5006934812760055,0.4996453025723274,0.5006934812760055
16,16,16,0.01,0,0,6,0.5171537484116899,0.48891213103099407,0.5171537484116899
16,16,16,0.01,0,0,7,0.5361305361305362,0.48922765808508983,0.5361305361305362
16,16,16,0.01,0,0,8,0.5330490405117271,0.5175735656748315,0.5330490405117271
16,16,16,0.01,0,0,9,0.593816631130064,0.5805200978924943,0.593816631130064
16,16,16,0.01,0,0,10,0.5330490405117271,0.5069012035699025,0.5330490405117271
16,16,16,0.01,0,0,11,0.5181236673773987,0.5149393411038958,0.5181236673773987
16,16,16,0.01,0,0,12,0.5266524520255863,0.526574968739343,0.5266524520255863
16,16,16,0.01,0,0,13,0.5183537263626251,0.47937032306385713,0.5183537263626251
16,16,16,0.01,0,0,14,0.5138568129330254,0.5097772668293634,0.5138568129330254
16,16,16,0.01,0,0,15,0.47699757869249393,0.47363700731649755,0.47699757869249393
16,16,16,0.01,0,0,16,0.5136897001303781,0.5122271002941051,0.5136897001303781
16,16,16,0.01,0,0,17,0.5076923076923077,0.5057344854673999,0.5076923076923077
16,16,16,0.01,0,0,18,0.5134328358208955,0.4592975472576221,0.5134328358208955
16,16,16,0.01,0,0,19,0.4983922829581994,0.4886162408297495,0.4983922829581994
16,16,16,0.01,0,0,20,0.5371329879101899,0.5129566854990584,0.5371329879101899
16,16,16,0.01,0,1,0,0.5371549893842887,0.504449806949807,0.5371549893842887
16,16,16,0.01,0,1,1,0.486,0.4481165096912459,0.486
16,16,16,0.01,0,1,2,0.5287569573283859,0.5001241419599824,0.5287569573283859
16,16,16,0.01,0,1,3,0.5232558139534884,0.48846353125786446,0.5232558139534884
16,16,16,0.01,0,1,4,0.47720364741641336,0.46043460434604344,0.47720364741641336
16,16,16,0.01,0,1,5,0.4618585298196949,0.46011270649992275,0.4618585298196949
16,16,16,0.01,0,1,6,0.5374841168996188,0.49135653409090907,0.5374841168996188
16,16,16,0.01,0,1,7,0.5198135198135199,0.5114894557917139,0.5198135198135199
16,16,16,0.01,0,1,8,0.5501066098081023,0.49332862292127466,0.5501066098081023
16,16,16,0.01,0,1,9,0.5149253731343284,0.4748899740760837,0.5149253731343284
16,16,16,0.01,0,1,10,0.5074626865671642,0.5063765223690865,0.5074626865671642
16,16,16,0.01,0,1,11,0.5724946695095949,0.564511441852926,0.5724946695095949
16,16,16,0.01,0,1,12,0.5010660980810234,0.49827188940092165,0.5010660980810234
16,16,16,0.01,0,1,13,0.5372636262513905,0.5346790890269151,0.5372636262513905
16,16,16,0.01,0,1,14,0.5046189376443418,0.5010736919289792,0.5046189376443418
16,16,16,0.01,0,1,15,0.5205811138014528,0.5009063444108761,0.5205811138014528
16,16,16,0.01,0,1,16,0.5384615384615384,0.530959784411277,0.5384615384615384
16,16,16,0.01,0,1,17,0.5048951048951049,0.4956119374432063,0.5048951048951049
16,16,16,0.01,0,1,18,0.5417910447761194,0.48354779988701274,0.5417910447761194
16,16,16,0.01,0,1,19,0.567524115755627,0.48655772919064055,0.567524115755627
16,16,16,0.01,0,1,20,0.5008635578583766,0.44203843319539704,0.5008635578583766
16,16,16,0.01,0,2,0,0.47770700636942676,0.4773088166299758,0.47770700636942676
16,16,16,0.01,0,2,1,0.466,0.4652277889272109,0.466
16,16,16,0.01,0,2,2,0.47866419294990725,0.4782043994281088,0.47866419294990725
16,16,16,0.01,0,2,3,0.5398671096345515,0.4313298207921974,0.5398671096345515
16,16,16,0.01,0,2,4,0.5303951367781155,0.45902411379219515,0.5303951367781155
16,16,16,0.01,0,2,5,0.507628294036061,0.4485451744605673,0.507628294036061
16,16,16,0.01,0,2,6,0.48030495552731894,0.4797371232582234,0.48030495552731894
16,16,16,0.01,0,2,7,0.5442890442890443,0.40858150739630106,0.5442890442890443
16,16,16,0.01,0,2,8,0.4840085287846482,0.4834072961471063,0.4840085287846482
16,16,16,0.01,0,2,9,0.55863539445629,0.4479560562034789,0.55863539445629
16,16,16,0.01,0,2,10,0.5202558635394456,0.5096421933085502,0.5202558635394456
16,16,16,0.01,0,2,11,0.5287846481876333,0.37785714285714284,0.5287846481876333
16,16,16,0.01,0,2,12,0.4989339019189765,0.4835285848172446,0.4989339019189765
16,16,16,0.01,0,2,13,0.4972191323692992,0.4774169984670309,0.4972191323692992
16,16,16,0.01,0,2,14,0.5369515011547344,0.43286380376113603,0.5369515011547344
16,16,16,0.01,0,2,15,0.48062953995157387,0.4797992328097864,0.48062953995157387
16,16,16,0.01,0,2,16,0.47196870925684486,0.4548283323943958,0.47196870925684486
16,16,16,0.01,0,2,17,0.5104895104895105,0.41647079672430837,0.5104895104895105
16,16,16,0.01,0,2,18,0.5507462686567164,0.45972808251289266,0.5507462686567164
16,16,16,0.01,0,2,19,0.4630225080385852,0.42290298565507745,0.4630225080385852
16,16,16,0.01,0,2,20,0.5544041450777202,0.44076819407008083,0.5544041450777202
16,16,16,0.01,0,3,0,0.4819532908704883,0.4775991854249245,0.4819532908704883
16,16,16,0.01,0,3,1,0.486,0.40031454318901993,0.486
16,16,16,0.01,0,3,2,0.47866419294990725,0.39347741643540485,0.47866419294990725
16,16,16,0.01,0,3,3,0.5016611295681063,0.4129654670272519,0.5016611295681063
16,16,16,0.01,0,3,4,0.47416413373860183,0.4492311860732913,0.47416413373860183
16,16,16,0.01,0,3,5,0.4812760055478502,0.46184580259922725,0.4812760055478502
16,16,16,0.01,0,3,6,0.45743329097839897,0.41668793015162164,0.45743329097839897
16,16,16,0.01,0,3,7,0.5081585081585082,0.5011078042328042,0.5081585081585082
16,16,16,0.01,0,3,8,0.5479744136460555,0.498729531338227,0.5479744136460555
16,16,16,0.01,0,3,9,0.5405117270788913,0.45638397005175596,0.5405117270788913
16,16,16,0.01,0,3,10,0.5202558635394456,0.5165612974161627,0.5202558635394456
16,16,16,0.01,0,3,11,0.5266524520255863,0.5117263889475091,0.5266524520255863
16,16,16,0.01,0,3,12,0.5298507462686567,0.529786080391214,0.5298507462686567
16,16,16,0.01,0,3,13,0.4949944382647386,0.4625131689844079,0.4949944382647386
16,16,16,0.01,0,3,14,0.45381062355658197,0.41721833575911227,0.45381062355658197
16,16,16,0.01,0,3,15,0.5363196125907991,0.4631184334010464,0.5363196125907991
16,16,16,0.01,0,3,16,0.5384615384615384,0.4328345114553567,0.5384615384615384
16,16,16,0.01,0,3,17,0.5202797202797202,0.4194299052367188,0.5202797202797202
16,16,16,0.01,0,3,18,0.5238805970149254,0.4290957365821605,0.5238805970149254
16,16,16,0.01,0,3,19,0.5016077170418006,0.49142796856042625,0.5016077170418006
16,16,16,0.01,0,3,20,0.46459412780656306,0.4266227958088423,0.46459412780656306
16,16,16,0.01,0,4,0,0.4416135881104034,0.4393390090567165,0.4416135881104034
16,16,16,0.01,0,4,1,0.53,0.5293203385688935,0.53
16,16,16,0.01,0,4,2,0.5398886827458256,0.4469049983449189,0.5398886827458256
16,16,16,0.01,0,4,3,0.4850498338870432,0.4842300761687874,0.4850498338870432
16,16,16,0.01,0,4,4,0.49848024316109424,0.49713761671854156,0.49848024316109424
16,16,16,0.01,0,4,5,0.5104022191400832,0.5104022191400832,0.5104022191400832
16,16,16,0.01,0,4,6,0.4726810673443456,0.4196010484695011,0.4726810673443456
16,16,16,0.01,0,4,7,0.5163170163170163,0.4710493595161944,0.5163170163170163
16,16,16,0.01,0,4,8,0.47334754797441364,0.4651680309514905,0.47334754797441364
16,16,16,0.01,0,4,9,0.5554371002132196,0.5432858302147857,0.5554371002132196
16,16,16,0.01,0,4,10,0.5575692963752665,0.5118718455123985,0.5575692963752665
16,16,16,0.01,0,4,11,0.5501066098081023,0.4773365868086365,0.5501066098081023
16,16,16,0.01,0,4,12,0.5149253731343284,0.5085301043879801,0.5149253731343284
16,16,16,0.01,0,4,13,0.5328142380422692,0.47557750641673796,0.5328142380422692
16,16,16,0.01,0,4,14,0.5288683602771362,0.435625155737862,0.5288683602771362
16,16,16,0.01,0,4,15,0.46246973365617433,0.4465711750538725,0.46246973365617433
16,16,16,0.01,0,4,16,0.5345501955671447,0.4303803788186102,0.5345501955671447
16,16,16,0.01,0,4,17,0.5174825174825175,0.5086243473722583,0.5174825174825175
16,16,16,0.01,0,4,18,0.5552238805970149,0.5036346098388043,0.5552238805970149
16,16,16,0.01,0,4,19,0.5385852090032154,0.464762550108988,0.5385852090032154
16,16,16,0.01,0,4,20,0.47322970639032813,0.4728271415137991,0.47322970639032813
16,16,16,0.01,0,5,0,0.5074309978768577,0.46334276284771336,0.5074309978768577
16,16,16,0.01,0,5,1,0.506,0.46715564664006043,0.506
16,16,16,0.01,0,5,2,0.5417439703153989,0.501010101010101,0.5417439703153989
16,16,16,0.01,0,5,3,0.4833887043189369,0.476511493304776,0.4833887043189369
16,16,16,0.01,0,5,4,0.5319148936170213,0.5294106719918265,0.5319148936170213
16,16,16,0.01,0,5,5,0.4909847434119279,0.48811336267350197,0.4909847434119279
16,16,16,0.01,0,5,6,0.5095298602287166,0.5087676744155962,0.5095298602287166
