Epochs,Train Batch Size,Test Batch Size,Learning Rate,Momentum,Hidden Layer,Token Position,Accuracy,Macro F1,Micro F1
128,8,8,1e-05,0,0,0,0.5052631578947369,0.505184206676744,0.5052631578947369
128,8,8,1e-05,0,0,1,0.45098039215686275,0.4493205201375927,0.45098039215686275
128,8,8,1e-05,0,0,2,0.5252707581227437,0.5089496655039347,0.5252707581227437
128,8,8,1e-05,0,0,3,0.5032786885245901,0.4975739041794088,0.5032786885245901
128,8,8,1e-05,0,0,4,0.5158371040723982,0.5134951640519096,0.5158371040723982
128,8,8,1e-05,0,0,5,0.5020408163265306,0.470644490971774,0.5020408163265306
128,8,8,1e-05,0,0,6,0.47984886649874053,0.4790547678621073,0.47984886649874053
128,8,8,1e-05,0,0,7,0.5091954022988506,0.5044652682829226,0.5091954022988506
128,8,8,1e-05,0,0,8,0.4989339019189765,0.49427813670068277,0.4989339019189765
128,8,8,1e-05,0,0,9,0.5810234541577826,0.5802214395277414,0.5810234541577826
128,8,8,1e-05,0,0,10,0.48187633262260127,0.48062725582412774,0.48187633262260127
128,8,8,1e-05,0,0,11,0.4605543710021322,0.4601395865181626,0.4605543710021322
128,8,8,1e-05,0,0,12,0.48507462686567165,0.46423389256863906,0.48507462686567165
128,8,8,1e-05,0,0,13,0.5100222717149221,0.5097791077959911,0.5100222717149221
128,8,8,1e-05,0,0,14,0.5011547344110855,0.5011547344110855,0.5011547344110855
128,8,8,1e-05,0,0,15,0.520048602673147,0.5197649975108172,0.520048602673147
128,8,8,1e-05,0,0,16,0.4875816993464052,0.4845155257295305,0.4875816993464052
128,8,8,1e-05,0,0,17,0.5070422535211268,0.5069796601830028,0.5070422535211268
128,8,8,1e-05,0,0,18,0.486404833836858,0.4824319352465048,0.486404833836858
128,8,8,1e-05,0,0,19,0.49838709677419357,0.49380314450053686,0.49838709677419357
128,8,8,1e-05,0,0,20,0.4793103448275862,0.4765655817066903,0.4793103448275862
128,8,8,1e-05,0,1,0,0.5052631578947369,0.3960372468496546,0.5052631578947369
128,8,8,1e-05,0,1,1,0.5117647058823529,0.4918347012192926,0.5117647058823529
128,8,8,1e-05,0,1,2,0.5703971119133574,0.4950520833333333,0.5703971119133574
128,8,8,1e-05,0,1,3,0.4885245901639344,0.4617707944480266,0.4885245901639344
128,8,8,1e-05,0,1,4,0.45248868778280543,0.43640536268368363,0.45248868778280543
128,8,8,1e-05,0,1,5,0.5034013605442177,0.4780449082748195,0.5034013605442177
128,8,8,1e-05,0,1,6,0.4924433249370277,0.4701117961405409,0.4924433249370277
128,8,8,1e-05,0,1,7,0.4908045977011494,0.4814258669476098,0.4908045977011494
128,8,8,1e-05,0,1,8,0.5202558635394456,0.48604617182933957,0.5202558635394456
128,8,8,1e-05,0,1,9,0.5405117270788913,0.5404234518430102,0.5405117270788913
128,8,8,1e-05,0,1,10,0.5298507462686567,0.3868417736998525,0.5298507462686567
128,8,8,1e-05,0,1,11,0.5042643923240938,0.40256822929151115,0.5042643923240938
128,8,8,1e-05,0,1,12,0.5213219616204691,0.4005690268900076,0.5213219616204691
128,8,8,1e-05,0,1,13,0.5022271714922049,0.41485579340957296,0.5022271714922049
128,8,8,1e-05,0,1,14,0.4976905311778291,0.48016697140097286,0.4976905311778291
128,8,8,1e-05,0,1,15,0.48116646415552855,0.4717292842013803,0.48116646415552855
128,8,8,1e-05,0,1,16,0.4745098039215686,0.4217882767023149,0.4745098039215686
128,8,8,1e-05,0,1,17,0.5309859154929577,0.386015711225086,0.5309859154929577
128,8,8,1e-05,0,1,18,0.47129909365558914,0.4367299707303791,0.47129909365558914
128,8,8,1e-05,0,1,19,0.5016129032258064,0.5016012341600089,0.5016129032258064
128,8,8,1e-05,0,1,20,0.4724137931034483,0.4705945520277768,0.4724137931034483
128,8,8,1e-05,0,2,0,0.47789473684210526,0.47750337094599393,0.47789473684210526
128,8,8,1e-05,0,2,1,0.48823529411764705,0.44322911220328354,0.48823529411764705
128,8,8,1e-05,0,2,2,0.48375451263537905,0.43147273692822186,0.48375451263537905
128,8,8,1e-05,0,2,3,0.5016393442622951,0.48226570177789696,0.5016393442622951
128,8,8,1e-05,0,2,4,0.5354449472096531,0.49243388347584016,0.5354449472096531
128,8,8,1e-05,0,2,5,0.5102040816326531,0.44197934943987044,0.5102040816326531
128,8,8,1e-05,0,2,6,0.5088161209068011,0.4948549131175246,0.5088161209068011
128,8,8,1e-05,0,2,7,0.49885057471264366,0.47796934865900387,0.49885057471264366
128,8,8,1e-05,0,2,8,0.4744136460554371,0.41928840432839437,0.4744136460554371
128,8,8,1e-05,0,2,9,0.48507462686567165,0.48060646011865527,0.48507462686567165
128,8,8,1e-05,0,2,10,0.5159914712153518,0.5152774805702136,0.5159914712153518
128,8,8,1e-05,0,2,11,0.5085287846481876,0.5071839424327278,0.5085287846481876
128,8,8,1e-05,0,2,12,0.4701492537313433,0.45643350438352553,0.4701492537313433
128,8,8,1e-05,0,2,13,0.49888641425389757,0.4871228620600374,0.49888641425389757
128,8,8,1e-05,0,2,14,0.5323325635103926,0.4078977356178051,0.5323325635103926
128,8,8,1e-05,0,2,15,0.534629404617254,0.3998636785097548,0.534629404617254
128,8,8,1e-05,0,2,16,0.5071895424836601,0.5027851479464382,0.5071895424836601
128,8,8,1e-05,0,2,17,0.5014084507042254,0.49433048180845157,0.5014084507042254
128,8,8,1e-05,0,2,18,0.552870090634441,0.4050233190827828,0.552870090634441
128,8,8,1e-05,0,2,19,0.49193548387096775,0.46819373759322946,0.49193548387096775
128,8,8,1e-05,0,2,20,0.506896551724138,0.5040422885572139,0.506896551724138
128,8,8,1e-05,0,3,0,0.4652631578947368,0.4448892078916372,0.4652631578947368
128,8,8,1e-05,0,3,1,0.5549019607843138,0.5546125702590303,0.5549019607843138
128,8,8,1e-05,0,3,2,0.516245487364621,0.5131746344022559,0.516245487364621
128,8,8,1e-05,0,3,3,0.5032786885245901,0.432819332566168,0.5032786885245901
128,8,8,1e-05,0,3,4,0.49321266968325794,0.49195402298850577,0.49321266968325794
128,8,8,1e-05,0,3,5,0.45850340136054424,0.4584221985248378,0.45850340136054424
128,8,8,1e-05,0,3,6,0.5503778337531486,0.5126196064271529,0.5503778337531486
128,8,8,1e-05,0,3,7,0.46206896551724136,0.41614422310299926,0.46206896551724136
128,8,8,1e-05,0,3,8,0.4978678038379531,0.4926638026960827,0.4978678038379531
128,8,8,1e-05,0,3,9,0.48294243070362475,0.42532859209105206,0.48294243070362475
128,8,8,1e-05,0,3,10,0.5085287846481876,0.49905410430686636,0.5085287846481876
128,8,8,1e-05,0,3,11,0.523454157782516,0.40885270170244264,0.523454157782516
128,8,8,1e-05,0,3,12,0.4690831556503198,0.4453579163342072,0.4690831556503198
128,8,8,1e-05,0,3,13,0.5033407572383074,0.49336645887305697,0.5033407572383074
128,8,8,1e-05,0,3,14,0.523094688221709,0.5089455987324722,0.523094688221709
128,8,8,1e-05,0,3,15,0.5358444714459295,0.45617743520197057,0.5358444714459295
128,8,8,1e-05,0,3,16,0.49411764705882355,0.4790744732327453,0.49411764705882355
128,8,8,1e-05,0,3,17,0.49295774647887325,0.49205087440381556,0.49295774647887325
128,8,8,1e-05,0,3,18,0.49395770392749244,0.4932349829417827,0.49395770392749244
128,8,8,1e-05,0,3,19,0.4774193548387097,0.4671674571092084,0.4774193548387097
128,8,8,1e-05,0,3,20,0.5637931034482758,0.3845598936379917,0.5637931034482758
128,8,8,1e-05,0,4,0,0.56,0.5436156763590392,0.56
128,8,8,1e-05,0,4,1,0.5313725490196078,0.5288929428634374,0.5313725490196078
128,8,8,1e-05,0,4,2,0.5090252707581228,0.4831309597310832,0.5090252707581228
128,8,8,1e-05,0,4,3,0.5081967213114754,0.49914608512874414,0.5081967213114754
128,8,8,1e-05,0,4,4,0.4917043740573152,0.49092147744438847,0.4917043740573152
128,8,8,1e-05,0,4,5,0.47891156462585033,0.4568906141175063,0.47891156462585033
128,8,8,1e-05,0,4,6,0.5403022670025189,0.38706968933669184,0.5403022670025189
128,8,8,1e-05,0,4,7,0.46091954022988507,0.46088463911655,0.46091954022988507
128,8,8,1e-05,0,4,8,0.5085287846481876,0.5085014122608107,0.5085287846481876
128,8,8,1e-05,0,4,9,0.48294243070362475,0.48257487611163996,0.48294243070362475
128,8,8,1e-05,0,4,10,0.48081023454157784,0.4497075706378032,0.48081023454157784
128,8,8,1e-05,0,4,11,0.5277185501066098,0.364839602640706,0.5277185501066098
128,8,8,1e-05,0,4,12,0.4861407249466951,0.48538269963621794,0.4861407249466951
128,8,8,1e-05,0,4,13,0.4910913140311804,0.4719434661711893,0.4910913140311804
128,8,8,1e-05,0,4,14,0.476905311778291,0.4567013864364387,0.476905311778291
128,8,8,1e-05,0,4,15,0.5091130012150669,0.5090948820618215,0.5091130012150669
128,8,8,1e-05,0,4,16,0.47843137254901963,0.4783422345652638,0.47843137254901963
128,8,8,1e-05,0,4,17,0.5140845070422535,0.47702608357761556,0.5140845070422535
128,8,8,1e-05,0,4,18,0.5015105740181269,0.49929866057922384,0.5015105740181269
128,8,8,1e-05,0,4,19,0.5193548387096775,0.46476784203756705,0.5193548387096775
128,8,8,1e-05,0,4,20,0.49310344827586206,0.4906810035842294,0.49310344827586206
128,8,8,1e-05,0,5,0,0.49894736842105264,0.4987674245380059,0.49894736842105264
128,8,8,1e-05,0,5,1,0.48627450980392156,0.4270252654328399,0.48627450980392156
128,8,8,1e-05,0,5,2,0.51985559566787,0.4737375901721306,0.51985559566787
