Epochs,Train Batch Size,Test Batch Size,Learning Rate,Momentum,Hidden Layer,Token Position,Accuracy,Macro F1,Micro F1
32,16,16,0.01,0,0,0,0.4543524416135881,0.44652842870533366,0.4543524416135881
32,16,16,0.01,0,0,1,0.512,0.5119687660010241,0.512
32,16,16,0.01,0,0,2,0.5139146567717996,0.49764506673496683,0.5139146567717996
32,16,16,0.01,0,0,3,0.4717607973421927,0.47128811312417146,0.4717607973421927
32,16,16,0.01,0,0,4,0.4939209726443769,0.49194844220616163,0.4939209726443769
32,16,16,0.01,0,0,5,0.5104022191400832,0.5084011782316866,0.5104022191400832
32,16,16,0.01,0,0,6,0.4663278271918678,0.44757530784966504,0.4663278271918678
32,16,16,0.01,0,0,7,0.5011655011655012,0.4997275382536292,0.5011655011655012
32,16,16,0.01,0,0,8,0.5533049040511727,0.5459977844083804,0.5533049040511727
32,16,16,0.01,0,0,9,0.5554371002132196,0.5223140193079192,0.5554371002132196
32,16,16,0.01,0,0,10,0.535181236673774,0.40707620754246476,0.535181236673774
32,16,16,0.01,0,0,11,0.5692963752665245,0.5437391639375843,0.5692963752665245
32,16,16,0.01,0,0,12,0.5426439232409381,0.4499842130945205,0.5426439232409381
32,16,16,0.01,0,0,13,0.5161290322580645,0.40109347361650316,0.5161290322580645
32,16,16,0.01,0,0,14,0.5277136258660509,0.5071240017422112,0.5277136258660509
32,16,16,0.01,0,0,15,0.4721549636803874,0.4569984560455467,0.4721549636803874
32,16,16,0.01,0,0,16,0.5371577574967406,0.5068989059905213,0.5371577574967406
32,16,16,0.01,0,0,17,0.5468531468531469,0.4898525447915015,0.5468531468531469
32,16,16,0.01,0,0,18,0.5149253731343284,0.37040817211638266,0.5149253731343284
32,16,16,0.01,0,0,19,0.5401929260450161,0.47580150872230076,0.5401929260450161
32,16,16,0.01,0,0,20,0.5302245250431779,0.451796157059315,0.5302245250431779
32,16,16,0.01,0,1,0,0.47983014861995754,0.46875704940221063,0.47983014861995754
32,16,16,0.01,0,1,1,0.494,0.4287365820835535,0.494
32,16,16,0.01,0,1,2,0.5194805194805194,0.4857722753677107,0.5194805194805194
32,16,16,0.01,0,1,3,0.4900332225913621,0.48063050277791053,0.4900332225913621
32,16,16,0.01,0,1,4,0.5273556231003039,0.42907919148520657,0.5273556231003039
32,16,16,0.01,0,1,5,0.5381414701803051,0.431728509314859,0.5381414701803051
32,16,16,0.01,0,1,6,0.5362134688691232,0.421869748364257,0.5362134688691232
32,16,16,0.01,0,1,7,0.5244755244755245,0.37273509174311925,0.5244755244755245
32,16,16,0.01,0,1,8,0.5341151385927505,0.4541595258354939,0.5341151385927505
32,16,16,0.01,0,1,9,0.5842217484008528,0.5730093143777575,0.5842217484008528
32,16,16,0.01,0,1,10,0.5298507462686567,0.4297479304378994,0.5298507462686567
32,16,16,0.01,0,1,11,0.5575692963752665,0.5349195634382523,0.5575692963752665
32,16,16,0.01,0,1,12,0.4978678038379531,0.48522490926144934,0.4978678038379531
32,16,16,0.01,0,1,13,0.5394883203559511,0.4880353684303196,0.5394883203559511
32,16,16,0.01,0,1,14,0.5046189376443418,0.4770023438984733,0.5046189376443418
32,16,16,0.01,0,1,15,0.513317191283293,0.5115273266487784,0.513317191283293
32,16,16,0.01,0,1,16,0.516297262059974,0.43818177151510485,0.516297262059974
32,16,16,0.01,0,1,17,0.5202797202797202,0.50684796531678,0.5202797202797202
32,16,16,0.01,0,1,18,0.5343283582089552,0.44873999219417515,0.5343283582089552
32,16,16,0.01,0,1,19,0.49517684887459806,0.4916237180488313,0.49517684887459806
32,16,16,0.01,0,1,20,0.5440414507772021,0.5126262626262627,0.5440414507772021
32,16,16,0.01,0,2,0,0.5095541401273885,0.4491228070175438,0.5095541401273885
32,16,16,0.01,0,2,1,0.478,0.41761610860455467,0.478
32,16,16,0.01,0,2,2,0.5027829313543599,0.4807620416966212,0.5027829313543599
32,16,16,0.01,0,2,3,0.5232558139534884,0.39753608179120503,0.5232558139534884
32,16,16,0.01,0,2,4,0.5243161094224924,0.48443832530195885,0.5243161094224924
32,16,16,0.01,0,2,5,0.5201109570041609,0.5021354216559696,0.5201109570041609
32,16,16,0.01,0,2,6,0.47903430749682335,0.4722854600881842,0.47903430749682335
32,16,16,0.01,0,2,7,0.548951048951049,0.443841650824491,0.548951048951049
32,16,16,0.01,0,2,8,0.5159914712153518,0.4883554402153018,0.5159914712153518
