Epochs,Train Batch Size,Test Batch Size,Learning Rate,Momentum,Hidden Layer,Token Position,Accuracy,Macro F1,Micro F1
64,16,16,0.001,0,0,0,0.5138004246284501,0.504062349127526,0.5138004246284501
64,16,16,0.001,0,0,1,0.5,0.4988453396625826,0.5
64,16,16,0.001,0,0,2,0.49165120593692024,0.48996408343693876,0.49165120593692024
64,16,16,0.001,0,0,3,0.5066445182724253,0.49843888070692194,0.5066445182724253
64,16,16,0.001,0,0,4,0.46504559270516715,0.46377737648747513,0.46504559270516715
64,16,16,0.001,0,0,5,0.5145631067961165,0.5138813974633605,0.5145631067961165
64,16,16,0.001,0,0,6,0.5057179161372299,0.4922875361742,0.5057179161372299
64,16,16,0.001,0,0,7,0.493006993006993,0.49195731804427456,0.493006993006993
64,16,16,0.001,0,0,8,0.488272921108742,0.48214942951785056,0.488272921108742
64,16,16,0.001,0,0,9,0.5458422174840085,0.5232943781405537,0.5458422174840085
64,16,16,0.001,0,0,10,0.5255863539445629,0.5129649270806715,0.5255863539445629
64,16,16,0.001,0,0,11,0.4946695095948827,0.49058419684963583,0.4946695095948827
64,16,16,0.001,0,0,12,0.5042643923240938,0.4773120824470476,0.5042643923240938
64,16,16,0.001,0,0,13,0.5116796440489433,0.5088697162810782,0.5116796440489433
64,16,16,0.001,0,0,14,0.5207852193995381,0.4860945675223892,0.5207852193995381
64,16,16,0.001,0,0,15,0.5084745762711864,0.5020254217153718,0.5084745762711864
64,16,16,0.001,0,0,16,0.5436766623207301,0.5272435897435898,0.5436766623207301
64,16,16,0.001,0,0,17,0.46853146853146854,0.46823085474501697,0.46853146853146854
64,16,16,0.001,0,0,18,0.47313432835820896,0.46232452401250357,0.47313432835820896
64,16,16,0.001,0,0,19,0.5321543408360129,0.5060460927586066,0.5321543408360129
64,16,16,0.001,0,0,20,0.5302245250431779,0.5014940491263611,0.5302245250431779
64,16,16,0.001,0,1,0,0.46284501061571126,0.4596884989457934,0.46284501061571126
64,16,16,0.001,0,1,1,0.488,0.48759827704920655,0.488
64,16,16,0.001,0,1,2,0.5231910946196661,0.5145284347981509,0.5231910946196661
64,16,16,0.001,0,1,3,0.5199335548172758,0.5110821345368604,0.5199335548172758
64,16,16,0.001,0,1,4,0.5121580547112462,0.5117509587312155,0.5121580547112462
64,16,16,0.001,0,1,5,0.49791955617198336,0.48023307683729227,0.49791955617198336
64,16,16,0.001,0,1,6,0.5031766200762389,0.5027141548142917,0.5031766200762389
64,16,16,0.001,0,1,7,0.5163170163170163,0.49581938023462446,0.5163170163170163
64,16,16,0.001,0,1,8,0.47121535181236673,0.47109752992105935,0.47121535181236673
64,16,16,0.001,0,1,9,0.5266524520255863,0.5222542397768152,0.5266524520255863
64,16,16,0.001,0,1,10,0.509594882729211,0.49600994243851393,0.509594882729211
64,16,16,0.001,0,1,11,0.48081023454157784,0.4776464668987953,0.48081023454157784
64,16,16,0.001,0,1,12,0.4957356076759062,0.4877660464928333,0.4957356076759062
64,16,16,0.001,0,1,13,0.5517241379310345,0.5185453917249719,0.5517241379310345
64,16,16,0.001,0,1,14,0.5277136258660509,0.5276978815384349,0.5277136258660509
64,16,16,0.001,0,1,15,0.5435835351089588,0.5226436237155991,0.5435835351089588
64,16,16,0.001,0,1,16,0.5228161668839635,0.5041018357569848,0.5228161668839635
64,16,16,0.001,0,1,17,0.5146853146853146,0.5061496171293559,0.5146853146853146
64,16,16,0.001,0,1,18,0.5253731343283582,0.5017119443197127,0.5253731343283582
64,16,16,0.001,0,1,19,0.5289389067524116,0.4884452041913327,0.5289389067524116
64,16,16,0.001,0,1,20,0.5267702936096719,0.49320853565039613,0.5267702936096719
64,16,16,0.001,0,2,0,0.5392781316348195,0.53764413703253,0.5392781316348195
64,16,16,0.001,0,2,1,0.472,0.4713148240119195,0.472
64,16,16,0.001,0,2,2,0.47680890538033394,0.47659090909090907,0.47680890538033394
64,16,16,0.001,0,2,3,0.49667774086378735,0.49497063782778067,0.49667774086378735
64,16,16,0.001,0,2,4,0.5273556231003039,0.5221004990623606,0.5273556231003039
64,16,16,0.001,0,2,5,0.49375866851595007,0.47021260747639093,0.49375866851595007
64,16,16,0.001,0,2,6,0.49809402795425667,0.4977696782876041,0.49809402795425667
64,16,16,0.001,0,2,7,0.5104895104895105,0.4792967124427799,0.5104895104895105
64,16,16,0.001,0,2,8,0.5373134328358209,0.5322072072072072,0.5373134328358209
64,16,16,0.001,0,2,9,0.5159914712153518,0.4914641369559402,0.5159914712153518
64,16,16,0.001,0,2,10,0.509594882729211,0.4821336841145096,0.509594882729211
64,16,16,0.001,0,2,11,0.5266524520255863,0.5001464255366136,0.5266524520255863
64,16,16,0.001,0,2,12,0.5159914712153518,0.5157250727802039,0.5159914712153518
64,16,16,0.001,0,2,13,0.5216907675194661,0.4754190459647828,0.5216907675194661
64,16,16,0.001,0,2,14,0.5323325635103926,0.5016135426746867,0.5323325635103926
64,16,16,0.001,0,2,15,0.463680387409201,0.4633964643687263,0.463680387409201
64,16,16,0.001,0,2,16,0.5241199478487614,0.4545052444111899,0.5241199478487614
64,16,16,0.001,0,2,17,0.5272727272727272,0.4909466996949935,0.5272727272727272
64,16,16,0.001,0,2,18,0.4925373134328358,0.46344956237457724,0.4925373134328358
64,16,16,0.001,0,2,19,0.5257234726688103,0.4968506895029382,0.5257234726688103
64,16,16,0.001,0,2,20,0.5371329879101899,0.48061320123175794,0.5371329879101899
64,16,16,0.001,0,3,0,0.5180467091295117,0.5014246077082702,0.5180467091295117
